"AJ Smith",,,,
"Albert Ernest Whitcher",,,,
"Ashley Cartman","Q75839116","2019 United Kingdom general election","North Somerset","Liberal Democrats"
"Brian Mathew","Q75838632","2019 United Kingdom general election","North Wiltshire","Liberal Democrats"
"Brian Tilley",,,,
"Charley Pattison",,,,
"D Sanders",,,,
"DT White",,,,
"David Derbyshire",,,,
"Donald Davies",,,,
"E Fraser Wilde",,,,
"Frank Beachim Beauchamp",,,,
"Greg Chambers",,,,
"HR White",,,,
"Hannah Young",Q76363682,,,
"Ian Kealey","Q98539394","2017 United Kingdom general election","Bristol South","UK Independence Party"
"JK Polling",,,,
"JM Bourne",,,,
"James Dormer Marshall",,,,
"John T Mitchard",,,,
"Marcus Kravis","Q98603263","2017 United Kingdom general election","Bridgwater and West Somerset","Liberal Democrats"
"Mark E Willies",,,,
"Phil Neve","Q75975819","2019 United Kingdom general election","North Somerset","Green Party of England and Wales"
"R Carder",,,,
"Richard Foord",,,,
"Robert J Hurst",,,,
"Steve Parry-Hearn","Q98601660","2015 United Kingdom general election","Forest of Dean","Labour Party"
"Sue Taylor",,,,
